,submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
15419,10/17/2020,PA,180943,173850.0,7093.0,1857,176.0,8466,,,9,2.0,10/18/2020 01:26:54 PM,Agree,Not agree
15420,03/03/2020,NV,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,,
15421,11/24/2020,AZ,306868,298008.0,8860.0,4544,110.0,6515,6036.0,479.0,51,7.0,11/25/2020 02:53:15 PM,Agree,Agree
15422,05/04/2020,IL,63840,63840.0,0.0,2391,0.0,2662,2662.0,0.0,44,0.0,05/05/2020 05:25:08 PM,Agree,Agree
15423,03/19/2020,WA,1376,,,189,,74,,,8,,03/26/2020 04:22:39 PM,,
15424,08/13/2020,PR,25128,10730.0,14398.0,682,231.0,317,192.0,125.0,11,1.0,08/14/2020 02:30:03 PM,Agree,Agree
15425,09/15/2020,NJ,197404,,,436,0.0,16043,14254.0,1789.0,9,0.0,09/16/2020 01:53:41 PM,Not agree,Agree
15426,09/29/2020,IN,119066,,,744,0.0,3612,3385.0,227.0,21,1.0,09/30/2020 02:17:41 PM,Not agree,Agree
15427,08/01/2020,MD,90274,,,909,0.0,3515,3381.0,134.0,9,2.0,08/02/2020 02:54:37 PM,,Agree
15428,06/19/2020,NE,17591,,,176,0.0,244,,,4,0.0,06/20/2020 02:15:45 PM,Not agree,Not agree
15429,04/06/2020,IA,946,,,78,,25,,,3,,04/05/2020 04:22:39 PM,Not agree,Not agree
15430,01/26/2020,CT,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
15431,08/07/2020,MD,94581,,,775,0.0,3577,3440.0,137.0,12,1.0,08/08/2020 02:58:44 PM,,Agree
15432,12/02/2020,FL,1001800,,,9890,0.0,18776,,,97,0.0,12/03/2020 03:21:08 PM,Not agree,Not agree
15433,08/23/2020,AR,56574,,,375,0.0,687,,,13,0.0,08/24/2020 01:54:34 PM,Not agree,Not agree
15434,05/17/2020,IN,27778,,,498,0.0,1751,1607.0,144.0,10,-1.0,05/18/2020 04:01:54 PM,Not agree,Agree
15435,06/01/2020,MI,57532,57532.0,0.0,135,0.0,5516,5516.0,0.0,25,0.0,06/02/2020 02:16:17 PM,Agree,Agree
15436,05/13/2020,MA,80497,80497.0,0.0,1165,0.0,5315,5315.0,0.0,174,0.0,05/14/2020 05:25:44 PM,Agree,Agree
15437,06/25/2020,CO,31479,28674.0,2805.0,324,24.0,1669,1337.0,332.0,2,0.0,06/26/2020 07:18:27 PM,Agree,Agree
15438,04/16/2020,LA,22532,,,581,,1156,,,53,,04/16/2020 04:22:39 PM,Not agree,Agree
15439,10/05/2020,OK,98244,87444.0,10800.0,664,83.0,1061,1042.0,19.0,3,0.0,10/06/2020 01:33:58 PM,Agree,Agree
15440,06/11/2020,AL,22845,22474.0,371.0,845,8.0,755,750.0,5.0,11,0.0,06/12/2020 02:17:59 PM,Agree,Agree
15441,05/29/2020,RMI,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,05/30/2020 03:47:59 PM,Agree,Agree
15442,11/25/2020,CO,210630,200911.0,9719.0,4191,229.0,2906,2439.0,467.0,46,3.0,11/26/2020 02:44:21 PM,Agree,Agree
15443,10/22/2020,FL,758306,,,5461,990.0,16267,,,57,1.0,10/23/2020 01:44:31 PM,Not agree,Not agree
